Date,Name,Review
2025-01-31 17:24:54,Lyndsy Harrington,"Our son has been attending workouts for about 5 months, 2 times per week.  He was hesitant at first, however, has enjoyed every minute.  He's always excited to go, looks forward to working out and his confidence has improved so much since starting. The coaches are awesome & have done a great job keeping him motivated.    Thank you to the entire Genesis team!"
2025-01-29 21:25:05,Grace Turner,I've been going to genesis for a little over 6 months and I can honestly say that I always enjoy going. I have never been a part of an actual gym before and Genesis was the best place for me to start out. They are very encouraging and are always willing to modify the workouts to fit to my needs and my strength.   I have never felt so strong and I am happy with the muscle that I am building.
2024-01-04T20:18:15.116Z,Rachael Ibbetson,Seeing great results. My son loves the workouts and trainers. He is definitely faster and stronger!
2024-01-03T23:00:27.759Z,Danny O'Neil,Genesis has helped me become a much better athlete and become more explosive on the field. The speed development and strength work has helped me become a more complete athlete.
2024-01-03T17:23:33.052Z,Jennifer Feeney,Genesis has been an absolutely life changing experience for me and my family. My boys have loved working out here for several years now. We owe many thanks to Graham and all the top notch trainers here. They helped my son put on 25+ pounds for football season the healthy way. He has accepted an offer to continue playing football with a large Division 2 school. To the entire staff..Thank you!
2024-01-03T15:53:14.742Z,Kyla Painter,"I've been coming here for several months now and couldn't be happier! I'm stronger, faster and more energetic. If you're looking for a place with genuinely supportive trainers/staff and to get lean and strong, this is it!"
2023-11-02T12:59:41.116Z,Steve Valdiserri,"From the genesis of Genesis, seeing this place grow from its origins when it was sharing gym space at the beginning to the multi-location behemoth that it is now, training all skill levels from NFL pros down to elementary athletes. Graham created something special, and you can experience it by joining his team!"
2023-11-01T23:27:15.128Z,Kenzie Mink,"I got told about this sport performance place by a friend that goes here. They work with each individual at their skill level, while being encouraging."
2023-10-24T17:20:00.116Z,Julie Heyob,"My daughter is 10 and has been doing sport specific, small group training for softball at Genesis since July. She LOVES going. The coaches are knowledgeable, encouraging, and make the classes fun. My daughter's confidence has grown along with her overall softball skills. I would recommend Genesis for anyone looking to improve their performance in any sport."
2023-07-21T18:51:00.116Z,Lindsay Mauk,"My son has been working out here for about 2 years after taking a break from sports after concussion. They have been nothing but supportive, encouraging and fun for him. He is working towards his goal of playing football in college.   He's happier and more confident, which is what a parent hopes for her kid.    Huge thanks to Graham and the entire team at Genesis Performance!"
2023-05-17T17:51:00.116Z,Brian Vaughn,Great place to train. Outstanding facility and coaches! Have really helped prepare my son for next football season! Highly recommend!
2023-05-13T18:59:00.116Z,Kristy Kauffman,"My kids went to Genesis for a sports-specific basketball training class. It was such a positive and valuable experience. The Genesis team pushes them to do their best and be their best. This is a place that brings the athlete out of your kids through hard work, encouragement, and fun. We will be sending them back!"
2023-04-18T18:48:00.116Z,Jeff DuBose,My daughters are in their third year at Genesis Indy and they love it. It has always been a place where they feel comfortable with a community of athletes who push each other but are also very supportive. They have excelled at their sports and reached new athletic heights because of the help and encouragement at Genesis. Graham and the staff are the absolute best and treat all of the athletes like family. My girls can't wait to go to the gym each week...and so many times we have shown up on days we weren't scheduled but the team at Genesis welcomes them with open arms. I can't say enough nice things...just come check it out yourself!
2023-03-07T01:39:02.116Z,M J,"My daughter has been going to Genesis Performance for a year now and she loves the energy, enthusiasm and positive environment.  I hear from her coach all the time about how strong she has gotten and it has made a huge difference in her play on the court.  Genesis is unique, special and one of a kind!"
2023-02-27T21:21:06.116Z,Jason Gerken,I've been to many types of gyms throughout the years and Genesis Performance is one of my favorite. I've taken my son in for speed and agility and he loves it. The coaches and owner have incredible energy every session and motivate the athletes to grow and get better. For me…I keep coming back because I'm continually challenged to grow and encouraged and cheered on during the toughest part of any workout. I highly recommend Genesis Performance. Graham and the rest of the staff are all top notch!
2023-02-24T00:22:33.116Z,Michael Bryant,"My daughter started going here a few months ago and absolutely loves it. She has increased her confidence athletically and made noticeable improvements in her sports performance! The coaches are amazing, and she looks forward to working out there weekly."
2023-02-23T01:47:26.116Z,Melissa Taylor,My daughter has been working out at Genesis for more than 2 years. She started during the pandemic and continued to workout here throughout her last year of high school. The trainers here have been instrumental in developing not only her strength but mental toughness in preparation for her entry into college D1 soccer. They have developed a sense of family with these kids and really push them in a positive encouraging environment. I've seen my daughter grow tremendously from working out at Genesis. I highly recommend Genesis for any age and any level.
2023-02-16T23:22:32.116Z,Keri Prentice,"Graham and the Genesis coaches push my son to work hard and give his best every time. They are upbeat, encouraging, and have great personalities. So glad we found them!"
